part, mode, altitude, latitude, longitude, accelerometer_x, accelerometer_y, accelerometer_z, yaw, pitch, roll, magnetometer_x, magnetometer_y, magnetometer_z, gps_altitude, kalman_altitude, kalman_velocity, ematch_status, temperature, timestamp
Booster, Armed, 1400, 32.98931, -106.97304, 1, 2, 3, 0.0004, 0.0006, 0.000054, 4, 5, 6, 2299, 2298, 1, 2, undefined, 1493333867302, 
Sustainer, Armed, 1400, 32.98931, -106.97304, 1, 2, 3, 0.0004, 0.0006, 0.000054, 4, 5, 6, 2299, 2298, 1, 2, undefined, 1493333867302, 
Booster, Armed, 1500, 32.989320000000006, -106.97303, 2, 4, 6, 0.0008, 0.0012, 0.000108, 8, 10, 12, 3298, 3296, 2, 4, undefined, 1493333868337, 
Sustainer, Armed, 1500, 32.989320000000006, -106.97303, 2, 4, 6, 0.0008, 0.0012, 0.000108, 8, 10, 12, 3298, 3296, 2, 4, undefined, 1493333868337, 
Booster, Armed, 1600, 32.98933000000001, -106.97301999999999, 3, 6, 9, 0.0012000000000000001, 0.0018, 0.00016199999999999998, 12, 15, 18, 4297, 4294, 3, 6, undefined, 1493333869359, 
Sustainer, Armed, 1600, 32.98933000000001, -106.97301999999999, 3, 6, 9, 0.0012000000000000001, 0.0018, 0.00016199999999999998, 12, 15, 18, 4297, 4294, 3, 6, undefined, 1493333869359, 
Booster, Armed, 1700, 32.98934000000001, -106.97300999999999, 4, 8, 12, 0.0016, 0.0024, 0.000216, 16, 20, 24, 5296, 5292, 4, 8, undefined, 1493333870377, 
Sustainer, Armed, 1700, 32.98934000000001, -106.97300999999999, 4, 8, 12, 0.0016, 0.0024, 0.000216, 16, 20, 24, 5296, 5292, 4, 8, undefined, 1493333870377, 
Booster, Armed, 1800, 32.989350000000016, -106.97299999999998, 5, 10, 15, 0.002, 0.0029999999999999996, 0.00027, 20, 25, 30, 6295, 6290, 5, 10, undefined, 1493333871399, 
Sustainer, Armed, 1800, 32.989350000000016, -106.97299999999998, 5, 10, 15, 0.002, 0.0029999999999999996, 0.00027, 20, 25, 30, 6295, 6290, 5, 10, undefined, 1493333871399, 
Booster, Armed, 1900, 32.98936000000002, -106.97298999999998, 6, 12, 18, 0.0024000000000000002, 0.0035999999999999995, 0.000324, 24, 30, 36, 7294, 7288, 6, 12, undefined, 1493333872422, 
Sustainer, Armed, 1900, 32.98936000000002, -106.97298999999998, 6, 12, 18, 0.0024000000000000002, 0.0035999999999999995, 0.000324, 24, 30, 36, 7294, 7288, 6, 12, undefined, 1493333872422, 
Booster, Armed, 2000, 32.98937000000002, -106.97297999999998, 7, 14, 21, 0.0028000000000000004, 0.0042, 0.000378, 28, 35, 42, 8293, 8286, 7, 14, undefined, 1493333873447, 
Sustainer, Armed, 2000, 32.98937000000002, -106.97297999999998, 7, 14, 21, 0.0028000000000000004, 0.0042, 0.000378, 28, 35, 42, 8293, 8286, 7, 14, undefined, 1493333873447, 
Booster, Armed, 2100, 32.989380000000025, -106.97296999999998, 8, 16, 24, 0.0032000000000000006, 0.0048, 0.00043200000000000004, 32, 40, 48, 9292, 9284, 8, 16, undefined, 1493333874453, 
Sustainer, Armed, 2100, 32.989380000000025, -106.97296999999998, 8, 16, 24, 0.0032000000000000006, 0.0048, 0.00043200000000000004, 32, 40, 48, 9292, 9284, 8, 16, undefined, 1493333874453, 
Booster, Armed, 2200, 32.98939000000003, -106.97295999999997, 9, 18, 27, 0.0036000000000000008, 0.005399999999999999, 0.00048600000000000005, 36, 45, 54, 10291, 10282, 9, 18, undefined, 1493333875472, 
Sustainer, Armed, 2200, 32.98939000000003, -106.97295999999997, 9, 18, 27, 0.0036000000000000008, 0.005399999999999999, 0.00048600000000000005, 36, 45, 54, 10291, 10282, 9, 18, undefined, 1493333875472, 
Booster, Armed, 2300, 32.98940000000003, -106.97294999999997, 10, 20, 30, 0.004000000000000001, 0.005999999999999999, 0.00054, 40, 50, 60, 11290, 11280, 10, 20, undefined, 1493333876488, 
Sustainer, Armed, 2300, 32.98940000000003, -106.97294999999997, 10, 20, 30, 0.004000000000000001, 0.005999999999999999, 0.00054, 40, 50, 60, 11290, 11280, 10, 20, undefined, 1493333876489, 
Booster, Armed, 2400, 32.989410000000035, -106.97293999999997, 11, 22, 33, 0.004400000000000001, 0.006599999999999999, 0.000594, 44, 55, 66, 12289, 12278, 11, 22, undefined, 1493333877507, 
Sustainer, Armed, 2400, 32.989410000000035, -106.97293999999997, 11, 22, 33, 0.004400000000000001, 0.006599999999999999, 0.000594, 44, 55, 66, 12289, 12278, 11, 22, undefined, 1493333877507, 
Booster, Armed, 2500, 32.98942000000004, -106.97292999999996, 12, 24, 36, 0.004800000000000001, 0.007199999999999999, 0.000648, 48, 60, 72, 13288, 13276, 12, 24, undefined, 1493333878537, 
Sustainer, Armed, 2500, 32.98942000000004, -106.97292999999996, 12, 24, 36, 0.004800000000000001, 0.007199999999999999, 0.000648, 48, 60, 72, 13288, 13276, 12, 24, undefined, 1493333878537, 
Booster, Armed, 2600, 32.98943000000004, -106.97291999999996, 13, 26, 39, 0.0052000000000000015, 0.007799999999999999, 0.000702, 52, 65, 78, 14287, 14274, 13, 26, undefined, 1493333879549, 
Sustainer, Armed, 2600, 32.98943000000004, -106.97291999999996, 13, 26, 39, 0.0052000000000000015, 0.007799999999999999, 0.000702, 52, 65, 78, 14287, 14274, 13, 26, undefined, 1493333879549, 
Booster, Armed, 2700, 32.989440000000045, -106.97290999999996, 14, 28, 42, 0.005600000000000002, 0.0084, 0.000756, 56, 70, 84, 15286, 15272, 14, 28, undefined, 1493333880557, 
Sustainer, Armed, 2700, 32.989440000000045, -106.97290999999996, 14, 28, 42, 0.005600000000000002, 0.0084, 0.000756, 56, 70, 84, 15286, 15272, 14, 28, undefined, 1493333880557, 
Booster, Armed, 2800, 32.98945000000005, -106.97289999999995, 15, 30, 45, 0.006000000000000002, 0.009, 0.0008100000000000001, 60, 75, 90, 16285, 16270, 15, 30, undefined, 1493333881572, 
Sustainer, Armed, 2800, 32.98945000000005, -106.97289999999995, 15, 30, 45, 0.006000000000000002, 0.009, 0.0008100000000000001, 60, 75, 90, 16285, 16270, 15, 30, undefined, 1493333881572, 
Booster, Armed, 2900, 32.98946000000005, -106.97288999999995, 16, 32, 48, 0.006400000000000002, 0.0096, 0.0008640000000000001, 64, 80, 96, 17284, 17268, 16, 32, undefined, 1493333882581, 
Sustainer, Armed, 2900, 32.98946000000005, -106.97288999999995, 16, 32, 48, 0.006400000000000002, 0.0096, 0.0008640000000000001, 64, 80, 96, 17284, 17268, 16, 32, undefined, 1493333882581, 
Booster, Armed, 3000, 32.989470000000054, -106.97287999999995, 17, 34, 51, 0.006800000000000002, 0.010199999999999999, 0.0009180000000000001, 68, 85, 102, 18283, 18266, 17, 34, undefined, 1493333883592, 
Sustainer, Armed, 3000, 32.989470000000054, -106.97287999999995, 17, 34, 51, 0.006800000000000002, 0.010199999999999999, 0.0009180000000000001, 68, 85, 102, 18283, 18266, 17, 34, undefined, 1493333883592, 
Booster, Armed, 3100, 32.98948000000006, -106.97286999999994, 18, 36, 54, 0.007200000000000002, 0.010799999999999999, 0.0009720000000000001, 72, 90, 108, 19282, 19264, 18, 36, undefined, 1493333884606, 
Sustainer, Armed, 3100, 32.98948000000006, -106.97286999999994, 18, 36, 54, 0.007200000000000002, 0.010799999999999999, 0.0009720000000000001, 72, 90, 108, 19282, 19264, 18, 36, undefined, 1493333884606, 
Booster, Armed, 3200, 32.98949000000006, -106.97285999999994, 19, 38, 57, 0.007600000000000003, 0.011399999999999999, 0.001026, 76, 95, 114, 20281, 20262, 19, 38, undefined, 1493333885621, 
Sustainer, Armed, 3200, 32.98949000000006, -106.97285999999994, 19, 38, 57, 0.007600000000000003, 0.011399999999999999, 0.001026, 76, 95, 114, 20281, 20262, 19, 38, undefined, 1493333885621, 
Booster, Armed, 3300, 32.98950000000006, -106.97284999999994, 20, 40, 60, 0.008000000000000002, 0.011999999999999999, 0.00108, 80, 100, 120, 21280, 21260, 20, 40, undefined, 1493333886639, 
Sustainer, Armed, 3300, 32.98950000000006, -106.97284999999994, 20, 40, 60, 0.008000000000000002, 0.011999999999999999, 0.00108, 80, 100, 120, 21280, 21260, 20, 40, undefined, 1493333886639, 
Booster, Armed, 3400, 32.98951000000007, -106.97283999999993, 21, 42, 63, 0.008400000000000001, 0.012599999999999998, 0.001134, 84, 105, 126, 22279, 22258, 21, 42, undefined, 1493333887654, 
Sustainer, Armed, 3400, 32.98951000000007, -106.97283999999993, 21, 42, 63, 0.008400000000000001, 0.012599999999999998, 0.001134, 84, 105, 126, 22279, 22258, 21, 42, undefined, 1493333887654, 
Booster, Armed, 3500, 32.98952000000007, -106.97282999999993, 22, 44, 66, 0.0088, 0.013199999999999998, 0.001188, 88, 110, 132, 23278, 23256, 22, 44, undefined, 1493333888671, 
Sustainer, Armed, 3500, 32.98952000000007, -106.97282999999993, 22, 44, 66, 0.0088, 0.013199999999999998, 0.001188, 88, 110, 132, 23278, 23256, 22, 44, undefined, 1493333888671, 
Booster, Armed, 3600, 32.98953000000007, -106.97281999999993, 23, 46, 69, 0.0092, 0.013799999999999998, 0.001242, 92, 115, 138, 24277, 24254, 23, 46, undefined, 1493333889678, 
Sustainer, Armed, 3600, 32.98953000000007, -106.97281999999993, 23, 46, 69, 0.0092, 0.013799999999999998, 0.001242, 92, 115, 138, 24277, 24254, 23, 46, undefined, 1493333889678, 
Booster, Armed, 3700, 32.989540000000076, -106.97280999999992, 24, 48, 72, 0.0096, 0.014399999999999998, 0.001296, 96, 120, 144, 25276, 25252, 24, 48, undefined, 1493333890687, 
Sustainer, Armed, 3700, 32.989540000000076, -106.97280999999992, 24, 48, 72, 0.0096, 0.014399999999999998, 0.001296, 96, 120, 144, 25276, 25252, 24, 48, undefined, 1493333890687, 
Booster, Armed, 3800, 32.98955000000008, -106.97279999999992, 25, 50, 75, 0.009999999999999998, 0.014999999999999998, 0.00135, 100, 125, 150, 26275, 26250, 25, 50, undefined, 1493333891694, 
Sustainer, Armed, 3800, 32.98955000000008, -106.97279999999992, 25, 50, 75, 0.009999999999999998, 0.014999999999999998, 0.00135, 100, 125, 150, 26275, 26250, 25, 50, undefined, 1493333891694, 
Booster, Armed, 3900, 32.98956000000008, -106.97278999999992, 26, 52, 78, 0.010399999999999998, 0.015599999999999998, 0.001404, 104, 130, 156, 27274, 27248, 26, 52, undefined, 1493333892699, 
Sustainer, Armed, 3900, 32.98956000000008, -106.97278999999992, 26, 52, 78, 0.010399999999999998, 0.015599999999999998, 0.001404, 104, 130, 156, 27274, 27248, 26, 52, undefined, 1493333892699, 
Booster, Armed, 4000, 32.989570000000086, -106.97277999999991, 27, 54, 81, 0.010799999999999997, 0.0162, 0.001458, 108, 135, 162, 28273, 28246, 27, 54, undefined, 1493333893707, 
Sustainer, Armed, 4000, 32.989570000000086, -106.97277999999991, 27, 54, 81, 0.010799999999999997, 0.0162, 0.001458, 108, 135, 162, 28273, 28246, 27, 54, undefined, 1493333893707, 
Booster, Armed, 4100, 32.98958000000009, -106.97276999999991, 28, 56, 84, 0.011199999999999996, 0.0168, 0.001512, 112, 140, 168, 29272, 29244, 28, 56, undefined, 1493333894721, 
Sustainer, Armed, 4100, 32.98958000000009, -106.97276999999991, 28, 56, 84, 0.011199999999999996, 0.0168, 0.001512, 112, 140, 168, 29272, 29244, 28, 56, undefined, 1493333894721, 
Booster, Armed, 4200, 32.98959000000009, -106.97275999999991, 29, 58, 87, 0.011599999999999996, 0.0174, 0.0015660000000000001, 116, 145, 174, 30271, 30242, 29, 58, undefined, 1493333895727, 
Sustainer, Armed, 4200, 32.98959000000009, -106.97275999999991, 29, 58, 87, 0.011599999999999996, 0.0174, 0.0015660000000000001, 116, 145, 174, 30271, 30242, 29, 58, undefined, 1493333895727, 
Booster, Armed, 4300, 32.989600000000095, -106.9727499999999, 30, 60, 90, 0.011999999999999995, 0.018, 0.0016200000000000001, 120, 150, 180, 31270, 31240, 30, 60, undefined, 1493333896736, 
Sustainer, Armed, 4300, 32.989600000000095, -106.9727499999999, 30, 60, 90, 0.011999999999999995, 0.018, 0.0016200000000000001, 120, 150, 180, 31270, 31240, 30, 60, undefined, 1493333896736, 
